run,status,output
1,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
2,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
3,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
4,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
5,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
6,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:126:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:144:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
7,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:32:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:125:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:125:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:142:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:142:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
8,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
9,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:126:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:126:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:144:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:144:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
10,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
