run,time_taken,iterations,verified,annotated_contract,status
1,221.28866052627563,10,False,,[]
2,226.26185154914856,10,False,,"[""Interaction: 2\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 3\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 4\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:74:5: Postcondition '_tokenId != 0 ' might not hold at end of function.\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:98:5: Postcondition 'msg.sender == _from || _operatorApprovals[_from][msg.sender] ' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n""]"
3,452.84756731987,10,False,,[]
4,284.8733084201813,10,False,,[]
5,263.67739152908325,10,False,,[]
6,536.7715003490448,10,False,,[]
7,352.7220540046692,2,True,"pragma solidity >=0.5.0;

contract IERC721 {

    bytes4 private constant _ERC721_RECEIVED = 0x150b7a02;

    mapping (uint256 => address) private _tokenOwner;

    mapping (uint256 => address) private _tokenApprovals;

    mapping (address => uint256) private _ownedTokensCount;

    mapping (address => mapping (address => bool)) private _operatorApprovals;

    bytes4 private constant _INTERFACE_ID_ERC721 = 0x80ac58cd;

    /// @notice postcondition _owner != address(0) && _ownedTokensCount[_owner] == balance
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition _tokenApprovals[_tokenId] == _approved
    /// @notice postcondition msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == address(0) ? address(0) : _tokenApprovals[_tokenId]
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition _operatorApprovals[msg.sender][_operator] == _approved
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition _from != address(0) && _to != address(0)
    /// @notice postcondition _tokenOwner[_tokenId] == _to
    /// @notice postcondition _operatorApprovals[_from][msg.sender] || msg.sender == _tokenOwner[_tokenId]
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition _from != address(0) && _to != address(0)
    /// @notice postcondition _tokenOwner[_tokenId] == _to
    /// @notice postcondition _operatorApprovals[_from][msg.sender] || msg.sender == _tokenOwner[_tokenId]
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition _from != address(0) && _to != address(0)
    /// @notice postcondition _tokenOwner[_tokenId] == _to
    /// @notice postcondition _operatorApprovals[_from][msg.sender] || msg.sender == _tokenOwner[_tokenId]
    /// @notice postcondition _tokenApprovals[_tokenId] == address(0) ? address(0) : _tokenApprovals[_tokenId]
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;
}
",[]
8,197.33065915107727,10,False,,[]
9,220.3962106704712,10,False,,[]
10,433.26460218429565,10,False,,[]
