run,status,output
1,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:108:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:108:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:125:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:125:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:143:5: Postcondition '_from != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:143:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
2,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
3,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
4,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:32:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:107:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:122:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:138:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
5,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:126:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:144:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
6,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
7,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
8,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:32:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:112:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:112:5: Postcondition '_from != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:128:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:128:5: Postcondition '_from != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:145:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:145:5: Postcondition '_from != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
9,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
10,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:108:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:124:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:141:5: Postcondition '_to != address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
