run,time_taken,iterations,verified,annotated_contract,status
1,249.10306525230408,10,False,,[]
2,180.26905965805054,8,True,"pragma solidity >= 0.5.0;

contract ERC1155  {

    event TransferSingle(address indexed operator, address indexed from, address indexed to, uint256 id, uint256 value);
    event TransferBatch(address indexed operator, address indexed from, address indexed to, uint256[] ids, uint256[] values);
    event ApprovalForAll(address indexed account, address indexed operator, bool approved);
    event URI(string value, uint256 indexed id);

    // Mapping from token ID to account balances
    mapping (uint256 => mapping(address => uint256)) private _balances;

    // Mapping from account to operator approvals
    mapping (address => mapping(address => bool)) private _operatorApprovals;

    // Used as the URI for all token types by relying on ID substitution, e.g. https://token-cdn-domain/{id}.json
    string private _uri;

    /**
        @notice postcondition _balances[_id][_owner] == balance
    */
    function balanceOf(address _owner, uint256 _id) public view returns (uint256 balance);

    /**
        @notice postcondition batchBalances.length == _owners.length
        @notice postcondition _owners.length == _ids.length
    */
    function balanceOfBatch(address[] memory _owners, uint256[] memory _ids) public view returns (uint256[] memory batchBalances);

    /**
        @notice postcondition _operatorApprovals[msg.sender][_operator] == _approved
        @notice postcondition _approved == true || _approved == false
        @notice postcondition msg.sender != _operator
    */
    function setApprovalForAll(address _operator, bool _approved) public;

    /**
        @notice postcondition _operatorApprovals[_owner][_operator] == approved
        @notice postcondition approved == true || approved == false
    */
    function isApprovedForAll(address _owner, address _operator) public view returns (bool approved);

    /**
        @notice postcondition _balances[_id][_from] == __verifier_old_uint(_balances[_id][_from]) - _value
        @notice postcondition _balances[_id][_to] == __verifier_old_uint(_balances[_id][_to]) + _value
        @notice postcondition _to != address(0)
        @notice postcondition __verifier_old_uint(_balances[_id][_from]) >= _value
    */
    function safeTransferFrom(address _from, address _to, uint256 _id, uint256 _value, bytes memory _data) public;

    /**
        @notice postcondition _ids.length == _values.length
        @notice postcondition _to != address(0)
    */
    function safeBatchTransferFrom(address _from, address _to, uint256[] memory _ids, uint256[] memory _values, bytes memory _data) public;
}
",[]
3,251.2644543647766,10,False,,"[""Iteraction: 5\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:95:5: Postcondition 'forall (uint i) _owners.length > i || _balances[_ids[i]][_owners[i]] == batchBalances[i]' might not hold at end of function.\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:180:5: Postcondition '_from != address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:180:5: Postcondition 'forall (uint i) _ids.length > i || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 6\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:177:5: Postcondition '_from != address(0)' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 7\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:178:5: Postcondition 'forall (uint i) _ids.length > i || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 8\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:177:5: Postcondition 'forall (uint i) _ids.length > i || _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i]' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 9\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:177:5: Postcondition 'forall (uint i) _ids.length > i || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 10\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:178:5: Postcondition 'forall (uint i) _ids.length > i || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n""]"
4,232.5613238811493,10,False,,[]
5,259.355783700943,10,False,,"[""Iteraction: 3\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:178:5: Postcondition '( ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) - _values[0] && _from != _to ) || ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) && _from == _to ) )' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 4\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:178:5: Postcondition '( ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) - _values[0] && _from != _to ) || ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) && _from == _to ) )' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n"", ""Iteraction: 6\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: OK\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: OK\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:178:5: Postcondition '( ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) - _values[0] && _from != _to ) || ( _balances[_ids[0]][_from] == __verifier_old_uint(_balances[_ids[0]][_from]) && _from == _to ) )' might not hold at end of function.\nERC1155::[receive_ether_selfdestruct]: OK\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 20 warnings.\nErrors were found by the verifier.\n\n""]"
6,202.7503809928894,9,True,"pragma solidity >= 0.5.0;

contract ERC1155  {

    event TransferSingle(address indexed operator, address indexed from, address indexed to, uint256 id, uint256 value);
    event TransferBatch(address indexed operator, address indexed from, address indexed to, uint256[] ids, uint256[] values);
    event ApprovalForAll(address indexed account, address indexed operator, bool approved);
    event URI(string value, uint256 indexed id);

    // Mapping from token ID to account balances
    mapping (uint256 => mapping(address => uint256)) private _balances;

    // Mapping from account to operator approvals
    mapping (address => mapping(address => bool)) private _operatorApprovals;

    // Used as the URI for all token types by relying on ID substitution, e.g. https://token-cdn-domain/{id}.json
    string private _uri;

    /**
        @notice postcondition _balances[_id][_owner] == balance
    */
    function balanceOf(address _owner, uint256 _id) public view returns (uint256 balance);

    /**
        @notice postcondition _owners.length == _ids.length
        @notice postcondition batchBalances.length == _owners.length
    */
    function balanceOfBatch(address[] memory _owners, uint256[] memory _ids) public view returns (uint256[] memory batchBalances);

    /**
        @notice postcondition msg.sender != _operator
        @notice postcondition _approved == true || _approved == false
        @notice postcondition _operatorApprovals[msg.sender][_operator] == _approved
    */
    function setApprovalForAll(address _operator, bool _approved) public;

    /**
        @notice postcondition approved == true || approved == false
        @notice postcondition _operatorApprovals[_owner][_operator] == approved
    */
    function isApprovedForAll(address _owner, address _operator) public view returns (bool approved);

    /**
        @notice postcondition _to != address(0)
        @notice postcondition _balances[_id][_from] == __verifier_old_uint(_balances[_id][_from]) - _value
        @notice postcondition _balances[_id][_to] == __verifier_old_uint(_balances[_id][_to]) + _value
        @notice postcondition __verifier_old_uint(_balances[_id][_from]) >= _value
    */
    function safeTransferFrom(address _from, address _to, uint256 _id, uint256 _value, bytes memory _data) public;

    /**
        @notice postcondition _to != address(0)
        @notice postcondition _ids.length == _values.length
    */
    function safeBatchTransferFrom(address _from, address _to, uint256[] memory _ids, uint256[] memory _values, bytes memory _data) public;
}
",[]
7,240.0655267238617,10,False,,[]
8,178.54035449028015,7,True,"pragma solidity >= 0.5.0;

contract ERC1155  {

    event TransferSingle(address indexed operator, address indexed from, address indexed to, uint256 id, uint256 value);
    event TransferBatch(address indexed operator, address indexed from, address indexed to, uint256[] ids, uint256[] values);
    event ApprovalForAll(address indexed account, address indexed operator, bool approved);
    event URI(string value, uint256 indexed id);

    // Mapping from token ID to account balances
    mapping (uint256 => mapping(address => uint256)) private _balances;

    // Mapping from account to operator approvals
    mapping (address => mapping(address => bool)) private _operatorApprovals;

    // Used as the URI for all token types by relying on ID substitution, e.g. https://token-cdn-domain/{id}.json
    string private _uri;

    /**
        @notice postcondition _balances[_id][_owner] == balance
    */
    function balanceOf(address _owner, uint256 _id) public view returns (uint256 balance);

    /**
        @notice postcondition batchBalances.length == _owners.length
        @notice postcondition _owners.length == _ids.length
    */
    function balanceOfBatch(address[] memory _owners, uint256[] memory _ids) public view returns (uint256[] memory batchBalances);

    /**
        @notice postcondition _operatorApprovals[msg.sender][_operator] == _approved
        @notice postcondition msg.sender != _operator
        @notice postcondition _approved == true || _approved == false
    */
    function setApprovalForAll(address _operator, bool _approved) public;

    /**
        @notice postcondition approved == true || approved == false
        @notice postcondition _operatorApprovals[_owner][_operator] == approved
    */
    function isApprovedForAll(address _owner, address _operator) public view returns (bool approved);

    /**
        @notice postcondition _to != address(0)
        @notice postcondition _balances[_id][_to] == __verifier_old_uint(_balances[_id][_to]) + _value
        @notice postcondition __verifier_old_uint(_balances[_id][_from]) >= _value
        @notice postcondition _balances[_id][_from] == __verifier_old_uint(_balances[_id][_from]) - _value
    */
    function safeTransferFrom(address _from, address _to, uint256 _id, uint256 _value, bytes memory _data) public;

    /**
        @notice postcondition _ids.length == _values.length
        @notice postcondition _to != address(0)
    */
    function safeBatchTransferFrom(address _from, address _to, uint256[] memory _ids, uint256[] memory _values, bytes memory _data) public;
}
",[]
9,224.20626521110535,10,False,,[]
10,207.70148015022278,10,False,,[]
