run,status,output
1,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
2,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
3,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
4,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
5,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
6,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
7,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
8,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:66:5: Postcondition 'success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:66:5: Postcondition 'con._allowed[msg.sender][_spender] == _value' might not hold at end of function.
Refinement::transfer_pre: OK
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:81:2: Postcondition 'con._balances[msg.sender] >= 0' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:81:2: Postcondition 'con._balances[msg.sender] == con_old._balances[msg.sender] - _value || con._balances[msg.sender] == con_old._balances[msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:81:2: Postcondition 'success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:81:2: Postcondition 'con._balances[_to] == con_old._balances[_to] + _value || con._balances[_to] == con_old._balances[_to]' might not hold at end of function.
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:100:5: Postcondition 'con._balances[_to] == con_old._balances[_to] + _value || con._balances[_to] == con_old._balances[_to]' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:100:5: Postcondition 'con._balances[_from] == con_old._balances[_from] - _value || con._balances[_from] == con_old._balances[_from]' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:100:5: Postcondition 'con._allowed[_from][msg.sender] == con_old._allowed[_from][msg.sender] - _value || con._allowed[_from][msg.sender] == con_old._allowed[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:100:5: Postcondition 'success' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
9,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:67:5: Postcondition '_value == 0 || con._allowed[msg.sender][_spender] == _value' might not hold at end of function.
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
10,0,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_pre: OK
Refinement::allowance_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::approve_pre: OK
Refinement::approve_post: OK
Refinement::transfer_pre: OK
Refinement::transfer_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
